listing_id,author,rating,comments,Polarity,Sentiment
28103946,Max,5,"Stay was great, everything was within walking distance however the directions to the actual property were a bit unclear. It was confusing to navigate 55 Bremner and 65 Bremner once inside  as the two buildings are connected and there are no signs stating or showing directions and the keys for 55 Bremner are in 65 Bremner",0.16666666666666666,Negative
28103946,Miah,5,"This place was in the heart of Toronto! So close to everything! Shopping, site seeing, food, and more! Super clean and stylish place! The views are absolutely stunning too! Will definitely be back!",0.4291666666666667,Negative
28103946,Tyler,5,"This condo is an incredible location in downtown Toronto with some incredible views of the city! From this unit, you’re pretty much able to walk anywhere in the vicinity of downtown. I would stay here again on my next visit to Toronto!",0.53,Positve
28103946,Emmanuel,5,Outstanding place and perfect location for one or two people looking to stay in the heart of Downtown Toronto.,0.75,Positve
28103946,Alicia,5,Great place at a great location!,0.9,Positve
28103946,Lalji,5,"a greal location, easy check in and clean place",0.4,Negative
28103946,Kendra,5,"Perfect location adjacent to the Arena and near a few restaurants, grocery store, etc.  A residential condo building with access to the pool, jacuzzi,  and gym. Different towers within the residence made directions confusing but we discovered a easier way to get to the condo without rerouting through a different floor. Otherwise as expected. A 1 bedroom small studio, stylish and modern but not very roomy.  Very small but doable. We were a group of 4 travelling for Caribana and werent inside much.",0.05576923076923078,Negative
28103946,David,5,"The condo is on the 35th fl with a terrific view.  It is clean,  stylish and in a great location!  The building was safe and check in through KeyCafe was much simpler than I anticipated.",0.4277777777777778,Negative
28103946,Russell,5,"Amazing location.  Walking distance to ScotiaBank Arena, The Rogers Center, the CN Tower and the water.",0.25000000000000006,Negative
28103946,Jan,5,"We arrived the night before the Raptors first NBA finals game. This location could not have been more perfect for us, not only for the Raptors/NBA action (stood right out front for all the first half!), but also so beautifully located within Toronto.  I plan to return with my husband to Toronto, for a full pleasure (no business) trip, and hope we can stay here again.  While small, it was all we needed and the staff at the building were helpful and informative.  Even the cleaning crew (which had not been informed of our noon check-out), were kind and full of hospitality when they arrived and we were not yet gone.  This was a terrific experience and I thank you so much!",0.24546130952380954,Negative
11533218,Rishabh,5,"Great location, very nice apartment. You might hear little construction noise (not much) in bedroom from outside, other than that really nice place. Big TV with Netflix, amazon prime included. Alper is very fast in responding to messages too. I would definitely recommend this place.",0.20274999999999999,Negative
11533218,Marcus,5,Very stylist place. Great location for everything. Great view,0.6,Positve
11533218,Ariella,5,A clean nice place withe beautiful views and in walking distance to everything!,0.6555555555555556,Positve
11533218,Brianna,5,Super stylish and clean! Close to downtown!!,0.5164930555555556,Positve
11533218,Joelle,5,"This location in Toronto is PERFECT!  Great view, super close to all things we were interested in seeing and a block away from a Sobey's, which is a fantastic grocery store.  The only thing we wish we knew about previous to going was that the mattress was really firm.  It was actually shockingly firm.  I guess some people like that sort of thing, but we are more into a squishier (word?) mattress.  We ended up purchasing a mattress pillow top because we knew we wouldn't be able to sleep well for the rest of our stay and everything was fine.  Alper responds quickly and was very helpful with a TV issue we had (one of the clickers was under the couch, which we found and everything worked fine after that).  All in all we would rent this space again (which we probably will in the summer to go to a Blue Jays game), but we'll bring our pillow topper with us!",0.2546296296296296,Negative
11533218,Louis,5,"This beautiful apartment is located in the middle of downtown Toronto. It’s super clean wonderful place to stay, if you’re booking this place you Will enjoy it. Parking is such a convince so many places to go to that are so close to This amazing apartment. The view is amazing I had a wonderful time.",0.5136363636363637,Positve
11533218,Kevonna,5,Highly recommend staying here! The View is amazing,0.4,Negative
11533218,Tiffany,5,"Good location, clean and comfortable apartment. Looked a bit bigger in photos, but overall great place to stay and great host!",0.4666666666666667,Negative
11533218,Dan,5,Absolutely stunning views of downtown Toronto. Clean and modern unit. Alper was very friendly and helpful throughout my stay.,0.3885416666666667,Negative
11533218,Jess,4,"Fantastic location and price for area! Couch bed was a futon, shower was amazing, bed was a little hard but comfy to sleep on. Overall place was VERY clean. Nothing extra was stocked, so buy food/drinks/anything needed besides the necessities.",0.1567857142857143,Negative
