id,author,rating,comments
390395,Sergio,5,Excellent host and great and clear comunicaciÃ³n. Place is near main touristic  attraction and safe area.
390395,Lauren,5,Seanâ€™s place was fantastic. Highly recommend!!
390395,Christina,5,Seanâ€™s place is very comfortable and cute. Sean was super accommodating and welcoming- definitely recommend his place!
390395,Hattie,5,"Sean was a great host. Super friendly and accommodating. He was full of advice on things to do, places to see and eat. Many thoughtful touches in the apartment for travelers such as lotion, ear plugs, feminine products, etc! Location was in walking distance to Distillery district and the Saint Lawrence market!"
390395,Daniel,5,Super cute bed room. The host answered all questions and messages very quickly. Would recommend!
925491,Vanna,5,Very nice place to stay !  Perfect view !
925491,Trista,5,"I had a wonderful (Email hidden by Airbnb) munication was great, check-in was very easy and the location of the property was perfect for exploring downtown Toronto. I would definitely stay again."
925491,David,5,Me and my girlfriend stayed at Oscars place for 7 nights and let me tell you that the price for this location is hands down unbeatable. You are in between the Scotiabank Arena and CN tower. Walking distance to Union Station for anyone that doesnâ€™t want to drive. The grocery store in the basement of the  high rise (Longoâ€™s) has fantastic hot food during the day. You get a jaw dropping view from the balcony that I enjoyed every night of the city. As far as the apartment itself it was very clean and had a great setup and has all the dish ware and cookware you could ask for. I honestly could not have imagined a more perfect spot for anyone to stay at in the downtown Toronto area. I am so thankful that I found this spot and if this is a spot anyone is considering I have one thing to say...TAKE IT
925491,Katie,5,"Oscarâ€™s was the perfect place to stay for our time in Toronto. We were so close to everything and we could walk to most places. The views from the balcony were amazing too! Instagram worthy! The place was extremely clean, comfortable and check in was easy. Thereâ€™s a grocery store right in the building with a Starbucks too and plenty of restaurants  nearby. Would stay here again next time Iâ€™m in Toronto."
925491,Matthew,5,Great host!!! Would definitely work with this host again in the future.
1066718,Nina,5,"Really enjoyed our stay at Emil's place. A great location with easy access to tons of bars, restaurants, shops, and culture. Plus a lovely outdoor space!"
1066718,Richard,5,A quiet comfy pad. We chose this place for it's location to West side destinations. The patio was a great place to relax between activities. A very nice change from staying downtown.
1066718,Ryan,5,"Emilâ€™s place is exactly as described and in a great location for exploring downtown on foot. The courtyard is particularly lovely. 

Emil himself was friendly and helpful, and so thoughtful! I was in town for my birthday, and arrived home to find a little cake and two candles waiting for me! Such a sweet surprise. 

Great stay in a homey spot!"
1066718,Jen,5,"Donâ€™t pass up this beautiful, tranquil spot that is central to everything yet quiet and relaxing. Emil was an amazing host and welcomed us when we arrived, gave us great tips, then left us to explore and take in beautiful Toronto. Will definitely stay here again when back in the city!"
1066718,Saira,3,Great location. A bit noisy upstairs in the morning and at night for short periods of time when the owner is at home.
1080121,Bill,5,Itâ€™s a perfect location. Book now!
1080121,Jr,5,"Katyâ€™s place was perfectly located to Union Station and the convention center. The building and apartment are modern, clean, safe and quiet. View was amazing."
1080121,Korey,5,"Katyâ€™s condo was everything that I expected. The photos are a great image of what to expect.  The view was stunning and location was excellent. She was also quick to respond when I had a question, would certainly recommend and stay again."
1080121,Edwin,5,"Awesome place. Great location, right in the middle of the action. Katy is super organized and her instructions were easy to follow."
1080121,Melissa,4,Itâ€™s all about the views with this space. Morning and evening do not disappoint with the harbor views. Tons of restaurants and shops near by. Easy to get around the city from this location.
1382277,Nicalena,5,Cristinaâ€™s place was in an amazing location. Easy to navigate the neighborhood. Beautiful apartment loft and building
1382277,Tom,5,"Huge windows, a great kitchen, stylish bathroom, and a cozy sitting area, all within walking distance (depending on the walker) of the downtown area, art museums, restaurants, and more! Go grab some snacks at the St Lawrence Market & relax at home after a long day of sightseeing with netflix and a glass of wine."
1382277,Terra,5,"Cristina was very warm and welcoming, and accommodating to our late check-in. She suggested some great local places to check out, and took the time to show me around the space. The apartment is beautiful and comfortable. The murphy bed is also wonderful to sleep in. The space had everything we needed, was very quiet, and was very close to some great spots in Toronto. I hope to stay again in the future!"
1382277,Debbie,5,"Cristina's air B&B was so conveniently located and within easy walking distance of the Distillery district and St Lawrence Market, as well as many places to enjoy a fine dinner.  The amenities she provided were wonderful and the place was super clean."
1382277,Kelly,5,"A beautiful studio with a comfortable bed, interesting and modern, yet totally cozy interior design. The artwork and indoor plants brighten the place up, along with floor to ceiling windows. The blinds, appliances, and television were easy to control. Walkable to the distillery district and Queen St East, and a short Uber to downtown, the harbor, or west side of Toronto! Cristina recommended El CantÃ­n for dinner, and it was one of the best dining experiences weâ€™ve had! Free parking is always on our must-have list, and it was easy enough to get a pass from security and keep the car safe in a lot right outside the building. It also has all the essentials for coffee and cooking, which we enjoyed. Overall a great stay for a few nights! Thank you!"
1989937,Brandon,5,The apartment was very clean and also modern. Great location and even better restaurants near by! Would deff recommend!
1989937,Brandi,5,We absolutely love this place! It is in great proximity to downtown and many restaurants. Everything is pretty much in walking distance and the space is very stylish and modern. We definitely plan to stay here again!
1989937,Michelle,5,Clean and trendy place to stay.  Lots of good restaurants within walking distance.  Host was prompt to respond to any questions.  Highly recommend.
1989937,Michael,4,"Beautiful and stylish space, a very comfortable place to stay, in a very lively and active neighborhood."
1989937,Suzanne,4,"Great location and very very clean. Beautiful place to stay easy to get around. Bathroom and kitchen are spacious and have everything you could need. Nothing really bad to say, but I wouldnâ€™t suggest booking the space for more than 2-3 people, the sofa beds are not too comfy."
